county,county_seat,fips_code,il_county_number,zipcode
MCHENRY,Woodstock,111,63,60001
LAKE,Waukegan,97,50,60002
COOK,Chicago,31,16,60004
COOK,Chicago,31,16,60005
COOK,Chicago,31,16,60006
COOK,Chicago,31,16,60007
COOK,Chicago,31,16,60008
COOK,Chicago,31,16,60009
LAKE,Waukegan,97,50,60010
LAKE,Waukegan,97,50,60010
LAKE,Waukegan,97,50,60010
LAKE,Waukegan,97,50,60010
LAKE,Waukegan,97,50,60010
LAKE,Waukegan,97,50,60010
LAKE,Waukegan,97,50,60010
LAKE,Waukegan,97,50,60010
LAKE,Waukegan,97,50,60010
LAKE,Waukegan,97,50,60010
LAKE,Waukegan,97,50,60010
LAKE,Waukegan,97,50,60010
LAKE,Waukegan,97,50,60010
LAKE,Waukegan,97,50,60010
LAKE,Waukegan,97,50,60010
LAKE,Waukegan,97,50,60010
LAKE,Waukegan,97,50,60010
LAKE,Waukegan,97,50,60011
MCHENRY,Woodstock,111,63,60012
MCHENRY,Woodstock,111,63,60012
MCHENRY,Woodstock,111,63,60012
MCHENRY,Woodstock,111,63,60012
MCHENRY,Woodstock,111,63,60013
MCHENRY,Woodstock,111,63,60013
MCHENRY,Woodstock,111,63,60013
MCHENRY,Woodstock,111,63,60014
MCHENRY,Woodstock,111,63,60014
MCHENRY,Woodstock,111,63,60014
LAKE,Waukegan,97,50,60015
LAKE,Waukegan,97,50,60015
LAKE,Waukegan,97,50,60015
COOK,Chicago,31,16,60016
COOK,Chicago,31,16,60017
COOK,Chicago,31,16,60018
COOK,Chicago,31,16,60018
COOK,Chicago,31,16,60019
COOK,Chicago,31,16,60019
LAKE,Waukegan,97,50,60020
LAKE,Waukegan,97,50,60020
MCHENRY,Woodstock,111,63,60021
MCHENRY,Woodstock,111,63,60021
COOK,Chicago,31,16,60022
COOK,Chicago,31,16,60025
COOK,Chicago,31,16,60026
COOK,Chicago,31,16,60029
LAKE,Waukegan,97,50,60030
LAKE,Waukegan,97,50,60030
LAKE,Waukegan,97,50,60030
LAKE,Waukegan,97,50,60030
LAKE,Waukegan,97,50,60030
LAKE,Waukegan,97,50,60030
LAKE,Waukegan,97,50,60031
MCHENRY,Woodstock,111,63,60033
MCHENRY,Woodstock,111,63,60033
MCHENRY,Woodstock,111,63,60033
MCHENRY,Woodstock,111,63,60034
LAKE,Waukegan,97,50,60035
LAKE,Waukegan,97,50,60037
LAKE,Waukegan,97,50,60037
COOK,Chicago,31,16,60038
COOK,Chicago,31,16,60038
MCHENRY,Woodstock,111,63,60039
LAKE,Waukegan,97,50,60040
LAKE,Waukegan,97,50,60041
LAKE,Waukegan,97,50,60041
LAKE,Waukegan,97,50,60041
LAKE,Waukegan,97,50,60041
LAKE,Waukegan,97,50,60042
COOK,Chicago,31,16,60043
LAKE,Waukegan,97,50,60044
LAKE,Waukegan,97,50,60044
LAKE,Waukegan,97,50,60044
LAKE,Waukegan,97,50,60045
LAKE,Waukegan,97,50,60045
LAKE,Waukegan,97,50,60045
LAKE,Waukegan,97,50,60045
